"lat","long"
-13.847,-171.8054
-13.8479,-171.7421
21.9222,-159.5287
22.2038,-159.4925
22.2181,-159.4843
22.2213,-159.4837
22.2208,-159.4834
21.8888,-159.4607
21.882,-159.4568
22.2106,-159.4531
21.8774,-159.4362
21.9649,-159.3748
21.9676,-159.358
21.9605,-159.3477
21.9625,-159.3465
22.0302,-159.3405
21.467,-158.2003
21.4738,-158.194
21.5811,-158.1476
21.3395,-158.1195
21.4892,-158.0828
21.3279,-158.068
21.4995,-158.0645
21.3451,-158.0612
21.3443,-158.0604
21.3446,-158.0597
21.4335,-158.0569
21.3444,-158.04
21.3247,-158.0389
21.3118,-158.0325
21.3301,-158.0321
21.3307,-158.0315
21.369,-158.0248
21.4532,-158.0236
21.4061,-158.0236
21.3543,-158.0226
21.4831,-158.0188
21.4043,-158.0116
21.3284,-158.0092
21.3282,-158.0087
21.4051,-158.006
21.5026,-158.0006
21.7028,-157.9967
21.7018,-157.996
21.702,-157.9959
21.7019,-157.9959
21.3786,-157.9929
21.3161,-157.9922
21.6997,-157.9857
21.7038,-157.9803
21.3844,-157.9514
21.6787,-157.9449
21.337,-157.9432
21.3351,-157.9428
21.3352,-157.9427
21.3924,-157.9359
21.3178,-157.9348
21.3168,-157.9346
21.3165,-157.9343
21.3489,-157.9306
21.3758,-157.9279
21.3452,-157.9276
21.3451,-157.9265
21.3536,-157.9068
21.3724,-157.9025
21.3624,-157.8973
21.3484,-157.8851
21.3486,-157.8848
21.2954,-157.8581
21.331,-157.8537
21.3005,-157.8536
21.2942,-157.8469
21.3376,-157.8386
21.2805,-157.8292
21.2793,-157.8251
21.2775,-157.819
21.2768,-157.8172
21.2889,-157.8115
21.2733,-157.8086
21.406,-157.799
21.2814,-157.7987
21.3744,-157.7938
21.3828,-157.792
21.4061,-157.7893
21.4067,-157.789
21.373,-157.7858
21.4108,-157.7772
21.2724,-157.7764
21.2724,-157.7763
21.2725,-157.7712
21.3733,-157.7671
21.4068,-157.7655
21.2764,-157.7643
21.3577,-157.7596
21.2908,-157.7522
21.4505,-157.7519
21.4064,-157.7449
21.3695,-157.7404
21.3547,-157.7287
21.3914,-157.7207
21.3032,-157.6663
21.2983,-157.6639
21.2977,-157.6628
21.1508,-157.0391
20.8311,-156.9168
20.744,-156.9055
20.7409,-156.904
20.9282,-156.6932
20.918,-156.6911
20.9182,-156.6909
20.9213,-156.6825
20.8724,-156.6774
21.0018,-156.6648
20.9986,-156.6634
21.0057,-156.6562
21.0029,-156.656
20.9975,-156.6546
20.9975,-156.6545
21.0072,-156.6404
21.0071,-156.6403
21.0069,-156.6402
21.0071,-156.6401
20.8271,-156.5146
20.9304,-156.5094
20.8794,-156.5049
20.8889,-156.5038
20.8669,-156.4744
20.8877,-156.4694
20.8859,-156.4578
20.8823,-156.4553
20.7449,-156.4535
20.7742,-156.452
20.7479,-156.4447
20.7486,-156.4437
20.7496,-156.443
20.6862,-156.4378
20.6402,-156.4377
20.676,-156.4372
20.6658,-156.436
20.6657,-156.436
20.666,-156.436
20.6701,-156.4356
20.6774,-156.4334
20.9108,-156.4033
20.8536,-156.3109
20.9003,-156.3035
19.6898,-156.0216
19.7951,-155.9982
19.6443,-155.9975
19.8263,-155.9919
19.6466,-155.9899
19.7981,-155.9871
19.6221,-155.9836
19.6679,-155.9803
19.8197,-155.9766
19.7468,-155.9725
19.6839,-155.972
19.5592,-155.9653
19.5718,-155.962
19.7854,-155.9619
19.562,-155.9596
19.5069,-155.9479
19.9251,-155.8842
19.9209,-155.8744
19.9259,-155.8727
19.9233,-155.8705
19.9388,-155.8673
19.9352,-155.8673
19.9379,-155.8673
19.9255,-155.8672
19.9463,-155.8669
